iter	Logloss
0	0.6871842993
1	0.6808999832
2	0.6753792825
3	0.670158856
4	0.6654804237
5	0.6604498495
6	0.6557880744
7	0.6517223751
8	0.6484138413
9	0.6441536088
10	0.640136449
11	0.6365160741
12	0.6330725231
13	0.6293483394
14	0.6259774275
15	0.6228441517
16	0.620017999
17	0.6169130743
18	0.614172762
19	0.611433667
20	0.6089128733
21	0.6067315372
22	0.6044609217
23	0.6022920175
24	0.6000929017
25	0.5979912907
26	0.5959134581
27	0.5937232607
28	0.59203799
29	0.5904370104
30	0.5889033785
31	0.5873385207
32	0.586038268
33	0.5845167825
34	0.5831736993
35	0.5820379684
36	0.5807278225
37	0.5796095336
38	0.578499944
39	0.57726967
40	0.5766110286
41	0.5756474881
42	0.5745625873
43	0.573511742
44	0.5725393421
45	0.57160748
46	0.5707120761
47	0.5697825104
48	0.5689557678
49	0.5681930051
50	0.5673091676
51	0.566416007
52	0.565565636
53	0.5649453494
54	0.5643480787
55	0.5637392513
56	0.5629555281
57	0.5623470121
58	0.5617805583
59	0.5609003169
60	0.5604103452
61	0.5597997849
62	0.5592011997
63	0.5587847631
64	0.5583521057
65	0.5577953441
66	0.5570661595
67	0.5566743155
68	0.5561416767
69	0.5557775874
70	0.5555669946
71	0.5551821358
72	0.5548183905
73	0.5542852643
74	0.553954998
75	0.5534640574
76	0.5530877744
77	0.5527823964
78	0.5523569727
79	0.551980976
80	0.5515972647
81	0.55126962
82	0.5510491981
83	0.5507881702
84	0.5507267898
85	0.5503381499
86	0.5501308587
87	0.5498128996
88	0.549504817
89	0.5492302154
90	0.5489253713
91	0.5484952033
92	0.5482123176
93	0.547839831
94	0.5474279365
95	0.5473582086
96	0.5470287008
97	0.5467180285
98	0.5462657824
99	0.5459786204
100	0.5452525921
101	0.5449282957
102	0.5446524221
103	0.5443237734
104	0.5440310751
105	0.5438302951
106	0.5434147483
107	0.5431582961
108	0.5430109331
109	0.5428797963
110	0.5426281787
111	0.5420341616
112	0.5418307821
113	0.5416103354
114	0.5414672763
115	0.541301264
116	0.5411057459
117	0.5409051457
118	0.5407660146
119	0.5405548893
120	0.54014702
121	0.5399063897
122	0.5397308632
123	0.5392371491
124	0.5390418217
125	0.5388777381
126	0.5387390444
127	0.5385907226
128	0.5383692464
129	0.5382523941
130	0.5381289876
131	0.5379685758
132	0.5377055147
133	0.5376141146
134	0.5375242566
135	0.5373328052
136	0.5371315867
137	0.5369493582
138	0.5365315369
139	0.5364089006
140	0.5362357319
141	0.5361525233
142	0.5359971528
143	0.5359058948
144	0.5357461821
145	0.5354269585
146	0.534919348
147	0.5347993632
148	0.5346806296
149	0.5342812466
150	0.5341256994
151	0.5339846425
152	0.5337963415
153	0.5335264749
154	0.5331694685
155	0.5329358676
156	0.5327967539
157	0.5326714891
158	0.5324511751
159	0.5321855174
160	0.5319759722
161	0.5317425234
162	0.5316107361
163	0.5313162195
164	0.5312138725
165	0.5310516865
166	0.5309005936
167	0.5307845682
168	0.5306480454
169	0.5305496479
170	0.5302357621
171	0.5300932485
172	0.5299723413
173	0.5299344755
174	0.5298361245
175	0.5297988479
176	0.5296904094
177	0.529551084
178	0.529500282
179	0.5292658788
180	0.5291883911
181	0.5290579588
182	0.5287984544
183	0.5286703363
184	0.5284001483
185	0.5283053227
186	0.5281722831
187	0.5281034971
188	0.5279306976
189	0.5275894637
190	0.527551252
191	0.5273816372
192	0.5271650825
193	0.5270960883
194	0.5269705001
195	0.5268682354
196	0.5268177903
197	0.5267720583
198	0.526417329
199	0.5263059498
200	0.5260618432
201	0.5260121663
202	0.5259747553
203	0.5258647244
204	0.5257579571
205	0.5256672472
206	0.5256107337
207	0.5252438916
208	0.5250575013
209	0.5249207919
210	0.524758162
211	0.5246699845
212	0.5245156416
213	0.5244628459
214	0.5243917489
215	0.5242327207
216	0.5241544391
217	0.5240882146
218	0.5240782066
219	0.524077653
220	0.5239158347
221	0.5238185751
222	0.523659786
223	0.5234385367
224	0.5234190182
225	0.5232947694
226	0.5231938224
227	0.5230953172
228	0.5229016877
229	0.522803949
230	0.5227647075
231	0.5227630154
232	0.5226922426
233	0.5226588007
234	0.5225636753
235	0.52238356
236	0.5223523383
237	0.5221435155
238	0.5221326317
239	0.5220046226
240	0.5219415477
241	0.521825295
242	0.5218203264
243	0.5217430821
244	0.521432384
245	0.5213532278
246	0.521279251
247	0.5212250937
248	0.5212038249
249	0.5211151789
250	0.5210383155
251	0.5209966184
252	0.5208869722
253	0.5207636453
254	0.5207463307
255	0.5205564706
256	0.5201756254
257	0.5201122232
258	0.5200045773
259	0.5199425993
260	0.5198604115
261	0.5197677425
262	0.5196244116
263	0.5195563645
264	0.5193785312
265	0.5192254033
266	0.5192224142
267	0.5192039896
268	0.519146096
269	0.5190559621
270	0.5190066154
271	0.5189651438
272	0.5188523484
273	0.5188517623
274	0.5186337638
275	0.5185309459
276	0.5184212593
277	0.5181291623
278	0.5180131276
279	0.517951899
280	0.5179307319
281	0.5177821044
282	0.5176969334
283	0.5175411376
284	0.5175284113
285	0.517448443
286	0.5173855507
287	0.5173279002
288	0.5169462036
289	0.516652838
290	0.5165733162
291	0.5164365561
292	0.5163704157
293	0.5162271986
294	0.5160704496
295	0.5159565036
296	0.5158633433
297	0.5156400106
298	0.5154381382
299	0.5154087364
300	0.5153444999
301	0.515334359
302	0.515301284
303	0.5151567572
304	0.5150890008
305	0.514735825
306	0.5146855837
307	0.5146347199
308	0.5145652232
309	0.5144844392
310	0.5142654122
311	0.5142090225
312	0.5139139574
313	0.5137796097
314	0.513684228
315	0.5136056211
316	0.5135723077
317	0.51339327
318	0.5133464959
319	0.5133001608
320	0.5132398782
321	0.5131597846
322	0.5131261654
323	0.5130328835
324	0.5129654061
325	0.5129077623
326	0.5128117852
327	0.5126881212
328	0.5126072909
329	0.5125771952
330	0.5123335538
331	0.5122177907
332	0.5121068015
333	0.5120396928
334	0.5119560161
335	0.5118767094
336	0.5117351225
337	0.5117351218
338	0.5116573788
339	0.5115286335
340	0.5114410584
341	0.5113301943
342	0.5112869763
343	0.5111975589
344	0.5110989989
345	0.5110962255
346	0.5109073781
347	0.5108392392
348	0.5106946285
349	0.5105365496
350	0.5104876275
351	0.5103471431
352	0.5103345421
353	0.5102619976
354	0.5100673384
355	0.5099824536
356	0.5099677702
357	0.5098856004
358	0.5096898103
359	0.5095725048
360	0.5095110103
361	0.5094997714
362	0.5094362011
363	0.509355517
364	0.509327822
365	0.5091646436
366	0.5091294422
367	0.509040921
368	0.5087573859
369	0.5087110234
370	0.5086002207
371	0.5086002201
372	0.5085178583
373	0.5084329586
374	0.5083577072
375	0.5082991651
376	0.5082381644
377	0.5079984846
378	0.507935945
379	0.5078158848
380	0.5077759922
381	0.5077225579
382	0.5076704424
383	0.50746294
384	0.5073003911
385	0.506868261
386	0.506753884
387	0.5065924561
388	0.5065140585
389	0.5063223474
390	0.5062601458
391	0.5061739951
392	0.5059909661
393	0.5058036779
394	0.5055767783
395	0.5054649434
396	0.5054270733
397	0.5053455639
398	0.5052761115
399	0.5049089367
400	0.5047894199
401	0.5046060237
402	0.5045899801
403	0.5043547351
404	0.5041962595
405	0.5040226968
406	0.5039669214
407	0.5038160581
408	0.5037032231
409	0.5035173872
410	0.5034442517
411	0.5032796827
412	0.5032244677
413	0.503030249
414	0.503029897
415	0.5029421926
416	0.5029068792
417	0.5027016468
418	0.5025258964
419	0.5024982102
420	0.5023776561
421	0.5021608735
422	0.501939722
423	0.5017097816
424	0.5016760645
425	0.5015609494
426	0.5014245433
427	0.5013912289
428	0.501350181
429	0.5012387481
430	0.5011196958
431	0.5009081504
432	0.5007634037
433	0.5007538529
434	0.500505837
435	0.5004706664
