iter	Passed	Remaining
0	94	94869
1	167	83355
2	212	70785
3	255	63565
4	282	56202
5	310	51514
6	332	47151
7	364	45234
8	382	42097
9	414	41075
10	446	40112
11	481	39682
12	514	39069
13	545	38452
14	579	38033
15	605	37259
16	632	36570
17	659	36005
18	683	35291
19	711	34881
20	737	34401
21	764	33980
22	793	33687
23	823	33501
24	848	33106
25	878	32905
26	918	33091
27	957	33245
28	984	32978
29	1025	33164
30	1059	33133
31	1090	32978
32	1121	32871
33	1152	32741
34	1183	32641
35	1211	32453
36	1240	32285
37	1278	32376
38	1311	32305
39	1343	32238
40	1370	32056
41	1401	31974
42	1428	31788
43	1451	31531
44	1483	31484
45	1508	31291
46	1535	31129
47	1567	31098
48	1596	30984
49	1625	30881
50	1663	30945
51	1705	31100
52	1760	31451
53	1802	31578
54	1861	31977
55	1921	32397
56	1993	32982
57	2046	33238
58	2116	33753
59	2176	34102
60	2211	34044
61	2249	34031
62	2296	34155
63	2332	34107
64	2380	34241
65	2414	34174
66	2462	34286
67	2502	34303
68	2543	34317
69	2583	34326
70	2609	34142
71	2647	34128
72	2681	34048
73	2709	33907
74	2742	33822
75	2774	33735
76	2808	33671
77	2842	33604
78	2872	33491
79	2898	33338
80	2929	33232
81	2958	33120
82	2988	33014
83	3016	32894
84	3028	32600
85	3057	32494
86	3084	32372
87	3115	32287
88	3145	32197
89	3176	32116
90	3209	32056
91	3240	31978
92	3267	31862
93	3292	31736
94	3324	31669
95	3344	31496
96	3376	31433
97	3408	31367
98	3438	31297
99	3466	31197
100	3494	31107
101	3524	31032
102	3553	30947
103	3583	30872
104	3611	30783
105	3641	30709
106	3671	30637
107	3704	30595
108	3733	30519
109	3760	30424
110	3791	30367
111	3824	30322
112	3855	30261
113	3883	30185
114	3913	30120
115	3948	30087
116	3977	30017
117	4005	29938
118	4038	29894
119	4066	29824
120	4095	29753
121	4125	29689
122	4153	29612
123	4181	29542
124	4212	29488
125	4243	29435
126	4274	29380
127	4308	29352
128	4347	29350
129	4376	29290
130	4405	29224
131	4448	29252
132	4477	29190
133	4504	29110
134	4541	29098
135	4570	29034
136	4598	28967
137	4631	28931
138	4659	28859
139	4689	28807
140	4717	28738
141	4747	28685
142	4774	28610
143	4805	28568
144	4840	28540
145	4863	28449
146	4895	28408
147	4917	28307
148	4943	28234
149	4975	28191
150	5004	28139
151	5041	28128
152	5072	28078
153	5105	28046
154	5141	28030
155	5167	27958
156	5196	27904
157	5227	27857
158	5258	27813
159	5289	27768
160	5318	27713
161	5348	27664
162	5372	27585
163	5402	27541
164	5441	27539
165	5470	27486
166	5510	27484
167	5539	27435
168	5571	27396
169	5604	27365
170	5637	27331
171	5666	27276
172	5695	27224
173	5725	27180
174	5754	27126
175	5782	27071
176	5813	27029
177	5846	26997
